concept_name,concept_oid,code,code_system
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305375004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305376003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305377007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305378002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305379005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305380008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305382000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305383005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305384004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305385003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305386002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305387006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305388001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305389009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305390000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305391001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305392008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305393003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305394009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305395005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305396006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305397002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305399004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305400006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305401005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305402003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305403008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305405001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305406000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305407009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305408004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305409007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305410002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305411003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305412005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305413000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305414006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305415007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305416008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305417004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305418009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305419001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305420007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305421006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305422004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305423009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305424003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305425002,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305426001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305427005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305428000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305429008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305430003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305431004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305432006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305433001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305434007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,305435008,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,306732000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,306803007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,306967009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,308251003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,308252005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,308253000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,310361003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,3241000175106,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,32485007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,373113001,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,397769005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,398162007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,405614004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,417005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,432621000124105,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,442281000124108,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,447941000124106,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,448421000124105,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,448431000124108,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,448441000124103,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,448851000124103,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,4563007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,45702004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,47348005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,48183000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,50699000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,51032003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,51501005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,5161006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,52748007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,60059000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,63551005,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,699124006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,70755000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,71290004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,73607007,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,74857009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,76193006,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,76464004,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,78680009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,81672003,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,82942009,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,8715000,SNOMEDCT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99221,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99222,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99223,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99231,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99232,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99233,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99234,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99235,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99236,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99238,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99239,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99252,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99253,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99254,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99255,CPT
Acute Inpatient,2.16.840.1.113883.3.464.1003.101.12.1083,99291,CPT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,100721000119109,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,100731000119107,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10091002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1010333003,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1010334009,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1010616001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,101281000119107,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,101421000119107,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1017196003,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1017197007,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10335000,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10349009,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,103511000119103,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,103611000119102,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,104981000119104,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,105041000119109,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,105051000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10532003,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,105421000119105,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,106021000119105,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10633002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10672271000119100,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10676831000119101,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,107571000119101,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,107581000119103,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,10762071000119109,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,107811000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,107831000119101,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1079531000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1079541000119102,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,108101000119101,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,108131000119108,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,108201000119105,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,108211000119108,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1082601000112109,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,109819003,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,109848009,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,109912006,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,111283005,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,111411000119103,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1141626005,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,11471000224106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1148551007,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1148924004,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1155991005,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156413005,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156414004,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156415003,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156416002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156417006,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156455001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156456000,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156460002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156461003,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156469001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156471001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156472008,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156789004,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156798001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156800008,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1156822001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1157060001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1163119007,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1163147006,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,116811000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,116821000119104,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,11717361000119108,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1177007001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1177062005,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1179377000,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186612004,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186724002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186728004,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186735007,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186869002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186877003,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186879000,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186880002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186881003,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186883000,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1186887004,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187004001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187126002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187285005,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187519007,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,1187521002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120851000119104,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120861000119102,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120871000119108,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120881000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120891000119109,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,120901000119108,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12241031000119108,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12241071000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12246481000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12246561000119101,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12246601000119101,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12246641000119104,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12348006,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,123604002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,123606000,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,12368000,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,123716002,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,123717006,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,127991000119101,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,128001000119105,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,128462008,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,128465005,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,130121000119104,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,13274008,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,13351431000119102,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,135091000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,13839000,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,14070001,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,141991000119109,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,142001000119106,SNOMEDCT
Advanced Illness,2.16.840.1.113883.3.464.1003.110.12.1082,142011000119109,SNOMEDCT
